trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
416,False,"{'a': 0.5, 'e': 0.1242800989098765}",20,13,10.32498356289322,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.5, 'e': 0.12365869841532712}",30,16,23.948622272224462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.5, 'e': 0.12304040492325048}",35,12,1.8174817831831325,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
419,False,"{'a': 0.5, 'e': 0.12242520289863422}",20,14,-2.845050676082688,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.5, 'e': 0.12181307688414106}",30,15,3.219766727359553,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
421,False,"{'a': 0.5, 'e': 0.12120401149972035}",25,17,19.690840372656826,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.5, 'e': 0.12059799144222175}",25,15,17.018076405339656,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.5, 'e': 0.11999500148501063}",25,12,18.914617795883267,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.5, 'e': 0.11939502647758558}",30,2,19.755056857235527,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
425,False,"{'a': 0.5, 'e': 0.11879805134519765}",20,10,-59.46528104746125,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
426,False,"{'a': 0.5, 'e': 0.11820406108847166}",25,0,22.657574986367948,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
427,False,"{'a': 0.5, 'e': 0.11761304078302931}",30,10,-9.304315022072016,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
428,False,"{'a': 0.5, 'e': 0.11702497557911416}",20,16,10.305575797014244,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.5, 'e': 0.11643985070121858}",25,9,20.65047040588034,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
430,False,"{'a': 0.5, 'e': 0.1158576514477125}",25,19,11.339893031503024,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.5, 'e': 0.11527836319047394}",35,9,24.61339008570211,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 0}",1
432,False,"{'a': 0.5, 'e': 0.11470197137452157}",20,12,14.008991674947236,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.5, 'e': 0.11412846151764895}",20,0,13.204771930459716,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
434,False,"{'a': 0.5, 'e': 0.11355781921006071}",30,10,22.211783839837423,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
435,False,"{'a': 0.5, 'e': 0.1129900301140104}",25,11,19.61419699074031,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.5, 'e': 0.11242507996344035}",30,16,13.991516798154366,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
437,False,"{'a': 0.5, 'e': 0.11186295456362315}",20,0,24.794381495678987,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
438,False,"{'a': 0.5, 'e': 0.11130363979080503}",20,0,23.222464956062225,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
439,False,"{'a': 0.5, 'e': 0.110747121591851}",30,20,8.926415084240311,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.5, 'e': 0.11019338598389175}",25,14,-4.1449483652134145,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
441,False,"{'a': 0.5, 'e': 0.10964241905397229}",25,13,9.381131050837809,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
442,False,"{'a': 0.5, 'e': 0.10909420695870244}",30,16,30.586098388582105,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.5, 'e': 0.10854873592390892}",20,0,15.705394832647334,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
444,False,"{'a': 0.5, 'e': 0.10800599224428938}",30,19,10.784711874683751,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
445,False,"{'a': 0.5, 'e': 0.10746596228306793}",20,14,0.09571997403734622,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
446,False,"{'a': 0.5, 'e': 0.10692863247165259}",20,11,6.50053430268244,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.5, 'e': 0.10639398930929432}",20,15,9.823978312079504,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.5, 'e': 0.10586201936274785}",25,14,23.37324953587811,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.5, 'e': 0.1053327092659341}",25,7,30.30057071944922,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.5, 'e': 0.10480604571960443}",20,15,10.054871906224015,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.5, 'e': 0.10428201549100642}",20,16,8.219818736560159,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.5, 'e': 0.10376060541355138}",20,10,6.900907644860516,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
453,False,"{'a': 0.5, 'e': 0.10324180238648363}",25,18,14.91270902606594,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.5, 'e': 0.10272559337455121}",20,6,25.211140883765914,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.5, 'e': 0.10221196540767845}",30,2,34.98271122141267,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
456,False,"{'a': 0.5, 'e': 0.10170090558064006}",25,14,26.723153004573653,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.5, 'e': 0.10119240105273686}",25,0,25.013320226243938,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
458,False,"{'a': 0.5, 'e': 0.10068643904747317}",25,18,13.139875406651065,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.5, 'e': 0.1001830068522358}",25,15,2.9767324554247647,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
460,False,"{'a': 0.5, 'e': 0.09968209181797463}",20,9,20.231319875016098,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.5, 'e': 0.09918368135888475}",20,8,21.366618770273334,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.5, 'e': 0.09868776295209034}",25,8,30.201886432359217,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.5, 'e': 0.09819432413732988}",20,4,17.576506114517933,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
464,False,"{'a': 0.5, 'e': 0.09770335251664322}",20,9,21.11978480002993,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.5, 'e': 0.09721483575406001}",25,7,6.683814237459914,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
466,False,"{'a': 0.5, 'e': 0.09672876157528972}",25,5,-6.46718361511005,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
467,False,"{'a': 0.5, 'e': 0.09624511776741326}",25,11,-41.12820694612122,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
468,False,"{'a': 0.5, 'e': 0.0957638921785762}",20,16,7.079681260465721,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.5, 'e': 0.09528507271768331}",25,15,15.477888459272927,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.5, 'e': 0.0948086473540949}",35,8,48.70740777939148,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.5, 'e': 0.09433460411732442}",20,11,17.823256835751057,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.5, 'e': 0.0938629310967378}",20,16,8.474421500073259,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.5, 'e': 0.09339361644125412}",35,26,-23.326951621257013,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
474,False,"{'a': 0.5, 'e': 0.09292664835904783}",20,10,15.587212558940905,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.5, 'e': 0.0924620151172526}",20,0,27.59614131351753,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
476,False,"{'a': 0.5, 'e': 0.09199970504166634}",25,17,15.334866913537924,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.5, 'e': 0.091539706516458}",20,12,14.243694667015943,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.5, 'e': 0.09108200798387571}",30,3,33.19715738041467,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
479,False,"{'a': 0.5, 'e': 0.09062659794395633}",20,11,-7.458429583264804,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
480,False,"{'a': 0.5, 'e': 0.09017346495423655}",20,0,34.84189752105212,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
481,False,"{'a': 0.5, 'e': 0.08972259762946537}",25,10,-4.498178575096617,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
482,False,"{'a': 0.5, 'e': 0.08927398464131804}",25,16,17.12926136063099,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.5, 'e': 0.08882761471811144}",20,9,9.356994816465882,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
484,False,"{'a': 0.5, 'e': 0.0883834766445209}",25,0,16.22016603228951,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
485,False,"{'a': 0.5, 'e': 0.08794155926129829}",20,14,11.334949621696412,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.5, 'e': 0.0875018514649918}",25,13,21.219845720487534,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.5, 'e': 0.08706434220766683}",20,0,-18.985890469061367,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
488,False,"{'a': 0.5, 'e': 0.0866290204966285}",30,16,29.036255221297832,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.5, 'e': 0.08619587539414536}",20,12,14.8208359535185,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.5, 'e': 0.08576489601717463}",35,23,20.25876471631865,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.5, 'e': 0.08533607153708876}",30,17,21.77920432574621,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.5, 'e': 0.08490939117940331}",20,11,7.302616766338977,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.5, 'e': 0.0844848442235063}",30,17,21.39294130995844,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.5, 'e': 0.08406242000238877}",25,15,8.592796738125301,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
495,False,"{'a': 0.5, 'e': 0.08364210790237682}",25,7,-10.933368028350603,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
496,False,"{'a': 0.5, 'e': 0.08322389736286494}",30,20,19.230426704082,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.5, 'e': 0.0828077778760506}",20,2,-54.56528490534915,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
498,False,"{'a': 0.5, 'e': 0.08239373898667036}",35,26,17.29823883934921,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.5, 'e': 0.081981770291737}",25,11,23.84857728135955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.5, 'e': 0.08157186144027832}",30,19,20.569001117632784,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.5, 'e': 0.08116400213307692}",25,10,26.88456406872759,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.5, 'e': 0.08075818212241154}",20,10,18.951244035341908,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.5, 'e': 0.08035439121179949}",35,15,32.704790125132696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.5, 'e': 0.07995261925574049}",30,16,27.076940314933616,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.5, 'e': 0.07955285615946178}",20,12,14.273460128167548,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.5, 'e': 0.07915509187866447}",20,12,14.448895168785869,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.5, 'e': 0.07875931641927116}",20,10,16.43932182131791,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.5, 'e': 0.0783655198371748}",20,5,-14.344326347757477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
509,False,"{'a': 0.5, 'e': 0.07797369223798892}",30,14,33.43977882633715,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.5, 'e': 0.07758382377679898}",20,9,23.869210665269087,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.5, 'e': 0.07719590465791498}",30,13,-14.6675712225552,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
512,False,"{'a': 0.5, 'e': 0.07680992513462541}",20,7,8.766585504383283,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
513,False,"{'a': 0.5, 'e': 0.07642587550895227}",20,11,9.480345802688275,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.5, 'e': 0.07604374613140752}",20,14,11.26283016369992,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.5, 'e': 0.07566352740075048}",20,11,13.618279355874629,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.5, 'e': 0.07528520976374672}",20,0,18.456597068448218,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
517,False,"{'a': 0.5, 'e': 0.074908783714928}",25,18,4.1789339880008045,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
518,False,"{'a': 0.5, 'e': 0.07453423979635335}",20,0,-55.00726302918741,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
519,False,"{'a': 0.5, 'e': 0.07416156859737158}",25,12,22.20561608970167,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.5, 'e': 0.07379076075438473}",30,20,10.64646931708016,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.5, 'e': 0.0734218069506128}",20,12,15.187167520772848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.5, 'e': 0.07305469791585974}",20,3,10.763397780787617,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
523,False,"{'a': 0.5, 'e': 0.07268942442628044}",25,13,24.113478268995006,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.5, 'e': 0.07232597730414904}",20,9,19.451989262415818,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.5, 'e': 0.07196434741762829}",30,16,9.634762455036313,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
526,False,"{'a': 0.5, 'e': 0.07160452568054015}",20,15,9.304017821597641,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.5, 'e': 0.07124650305213745}",25,14,22.137411110360723,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.5, 'e': 0.07089027053687676}",20,16,8.81757588215844,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.5, 'e': 0.07053581918419238}",20,13,12.897555677861959,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.5, 'e': 0.07018314008827141}",25,15,22.57149888868219,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.5, 'e': 0.06983222438783006}",25,15,19.96854454523994,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.5, 'e': 0.0694830632658909}",30,18,9.476602409523334,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
533,False,"{'a': 0.5, 'e': 0.06913564794956145}",25,16,14.246970436305135,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
